Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
444.83	478.66	undefined	11.562	28.737	44.991	447.10	0.0022366	11.562	28.737	44.991	41.648	51.731	2264.5	-0.51312	70.878	0.28899	447.10	0.0022366	11.562	28.737	44.991	41.648	51.731	2264.5	-0.51312	70.878	0.28899
446.58	480.54	undefined	11.635	28.877	45.154	447.10	0.0022366	11.635	28.877	45.154	41.742	51.812	2266.4	-0.51229	70.795	0.28934	447.10	0.0022366	11.635	28.877	45.154	41.742	51.812	2266.4	-0.51229	70.795	0.28934
448.33	482.43	undefined	11.708	29.018	45.318	447.10	0.0022366	11.708	29.018	45.318	41.836	51.893	2268.3	-0.51146	70.713	0.28970	447.10	0.0022366	11.708	29.018	45.318	41.836	51.893	2268.3	-0.51146	70.713	0.28970
450.08	484.31	undefined	11.781	29.159	45.481	447.10	0.0022366	11.781	29.159	45.481	41.930	51.975	2270.2	-0.51064	70.632	0.29006	447.10	0.0022366	11.781	29.159	45.481	41.930	51.975	2270.2	-0.51064	70.632	0.29006
451.82	486.19	undefined	11.854	29.300	45.644	447.10	0.0022366	11.854	29.300	45.644	42.024	52.056	2272.0	-0.50981	70.553	0.29041	447.10	0.0022366	11.854	29.300	45.644	42.024	52.056	2272.0	-0.50981	70.553	0.29041
453.57	488.07	undefined	11.928	29.441	45.806	447.10	0.0022366	11.928	29.441	45.806	42.119	52.138	2273.9	-0.50899	70.474	0.29077	447.10	0.0022366	11.928	29.441	45.806	42.119	52.138	2273.9	-0.50899	70.474	0.29077
455.32	489.94	undefined	12.002	29.582	45.968	447.10	0.0022366	12.002	29.582	45.968	42.214	52.220	2275.7	-0.50816	70.396	0.29113	447.10	0.0022366	12.002	29.582	45.968	42.214	52.220	2275.7	-0.50816	70.396	0.29113
457.07	491.81	undefined	12.076	29.723	46.130	447.10	0.0022366	12.076	29.723	46.130	42.308	52.302	2277.6	-0.50734	70.319	0.29149	447.10	0.0022366	12.076	29.723	46.130	42.308	52.302	2277.6	-0.50734	70.319	0.29149
458.82	493.68	undefined	12.150	29.864	46.292	447.10	0.0022366	12.150	29.864	46.292	42.403	52.385	2279.4	-0.50652	70.243	0.29185	447.10	0.0022366	12.150	29.864	46.292	42.403	52.385	2279.4	-0.50652	70.243	0.29185
460.57	495.55	undefined	12.224	30.005	46.454	447.10	0.0022366	12.224	30.005	46.454	42.498	52.467	2281.3	-0.50569	70.168	0.29221	447.10	0.0022366	12.224	30.005	46.454	42.498	52.467	2281.3	-0.50569	70.168	0.29221
